airport_row_id,monitor_row_id,distance_m,distance_km,distance_band,airport_id,airport_ident,gps_code,local_code,airport_name,airport_type,airport_county_fips,airport_county_name,monitor_id,county_fips,state_name,county_name,monitor_lat,monitor_lon,same_county,is_reid_hillview
222,142,4005.560254452705,4.005560254452705,3-5 km,6889,06N,K06N,06N,Randall Airport,small_airport,36071,Orange,360713001,36071,New York,Orange,41.46107,-74.36343,TRUE,FALSE
222,143,4315.783699403665,4.315783699403665,3-5 km,6889,06N,K06N,06N,Randall Airport,small_airport,36071,Orange,360713002,36071,New York,Orange,41.45869,-74.35404,TRUE,FALSE
563,184,3466.35218355525,3.46635218355525,3-5 km,7488,0PN2,0PN2,0PN2,Flying Acres Airport,small_airport,42019,Butler,420190020,42019,Pennsylvania,Butler,41.0632,-80.0309,TRUE,FALSE
772,259,4318.815837631412,4.318815837631412,3-5 km,7897,14N,NA,14N,Beltzville Airport,small_airport,42025,Carbon,420250217,42025,Pennsylvania,Carbon,40.812488,-75.60594,TRUE,FALSE
910,190,1629.7204352368594,1.6297204352368595,1-3 km,8115,18PN,18PN,18PN,Spud View Airport,small_airport,42055,Franklin,420550002,42055,Pennsylvania,Franklin,40.059828,-77.710608,TRUE,FALSE
2066,108,4698.678273486396,4.698678273486396,3-5 km,10151,35MN,35MN,35MN,Wipline Airport,small_airport,27037,Dakota,271630438,27163,Minnesota,Washington,44.85711,-93.00352,FALSE,FALSE
2413,199,4513.852411618873,4.513852411618873,3-5 km,10744,3PA6,3PA6,3PA6,Fox Hollow Airport,small_airport,42119,Union,421190001,42119,Pennsylvania,Union,40.95517,-76.88189,TRUE,FALSE
3927,37,2221.845679611351,2.221845679611351,1-3 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,060771002,06077,California,San Joaquin,37.950741,-121.268523,TRUE,FALSE
3927,260,3555.0756939666953,3.555075693966695,3-5 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,060771003,06077,California,San Joaquin,37.961578,-121.281414,TRUE,FALSE
4822,193,4732.563116638382,4.7325631166383815,3-5 km,516637,88PS,88PS,88PS,Indian Springs Airport,small_airport,42071,Lancaster,420710009,42071,Pennsylvania,Lancaster,40.108944,-76.472235,TRUE,FALSE
6500,66,3808.0290741908725,3.8080290741908724,3-5 km,18125,IN56,IN56,IN56,Carroll's Airpark,small_airport,18035,Delaware,180350009,18035,Indiana,Delaware,40.158417,-85.415021,TRUE,FALSE
6569,137,4723.923748687679,4.723923748687679,3-5 km,18307,K01,K01,K01,Farington Field,small_airport,31127,Nemaha,311270002,31127,Nebraska,Nemaha,40.402544,-95.841639,TRUE,FALSE
7500,92,866.924477130158,0.8669244771301581,0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,270031002,27003,Minnesota,Anoka,45.13768,-93.207615,TRUE,FALSE
7560,195,2328.6536675008824,2.328653667500882,1-3 km,3388,KAVP,KAVP,AVP,Wilkes-Barre/Scranton International Airport,medium_airport,42079,Luzerne,420790036,42079,Pennsylvania,Luzerne,41.348869,-75.747322,TRUE,FALSE
7614,230,4597.3567084385295,4.59735670843853,3-5 km,3401,KBFI,KBFI,BFI,King County International Airport - Boeing Field,medium_airport,53033,King,530330080,53033,Washington,King,47.568236,-122.308628,TRUE,FALSE
7643,150,4532.50345801144,4.53250345801144,3-5 km,3414,KBKL,KBKL,BKL,Burke Lakefront Airport,medium_airport,39035,Cuyahoga,390350038,39035,Ohio,Cuyahoga,41.477011,-81.682383,TRUE,FALSE
