distance_band,airport_id,airport_ident,gps_code,local_code,airport_name,airport_type,airport_county_fips,month,mean_lead,n_obs,n_monitors,is_reid_hillview,air_temp,wind_speed,rhum,pres,wind_dir_sin,wind_dir_cos
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2012-01-01,0.0075,4,1,FALSE,-2.432493591308571,8.43215307791494,80.1875,96.9625,-0.9079087448096047,-0.219446329139872
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2012-02-01,0.008,5,1,FALSE,-2.8479980468749773,5.324097474792604,87,97.424,-0.8041963265964502,-0.3050361775050688
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2012-03-01,0.012,5,1,FALSE,5.650006103515648,4.3468219178091045,80.7,97.262,-0.4460359378608674,0.03754678637662129
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2012-04-01,0.012,5,1,FALSE,9.206011962890647,6.414493122331041,76.25,97.214,-0.23840724515166295,0.2167941446576857
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2012-05-01,0.002,5,1,FALSE,15.884002685546898,4.533532625222474,84.15,97.21,-0.8979805974415331,-0.03964946302903045
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2012-06-01,0.002,5,1,FALSE,18.37000122070315,6.054876440042214,78.8,97.058,-0.5437116473133867,-0.7045145135227001
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2012-07-01,0.002,5,1,FALSE,22.790002441406273,3.8297862542615606,83,97.33200000000001,-0.5268483622811311,-0.33191953420294007
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2012-08-01,0.002,5,1,FALSE,22.960009765625024,6.617723034609499,65.4,97.348,-0.12345183666340236,-0.03426676023952433
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2012-09-01,0.002,5,1,FALSE,15.734008789062523,6.150284613363555,53.35,97.44,-0.5289480800439004,-0.024883249781668237
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2012-10-01,0.01,5,1,FALSE,6.211999511718773,3.7297080271540315,73.8,97.234,0.25535118694258574,0.0591146921144563
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2012-11-01,0.008,5,1,FALSE,2.7080078125000226,4.12598132240193,85.15,97.548,0.33321207331351155,-0.5858486114102955
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2012-12-01,0.002,5,1,FALSE,-9.371997070312478,4.445192962847347,89.4,97.408,0.35687144275458277,0.4148104532919952
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2013-01-01,0.03,5,1,FALSE,-8.461999511718727,6.81827251536428,85.05,97.54,-0.8706221036263554,-0.3374041021381839
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2013-02-01,0.024,5,1,FALSE,-9.444000244140602,7.6956579410640185,82.75,97.754,-0.46375220224738295,0.25448443367975887
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2013-03-01,0.008,5,1,FALSE,-4.202001953124977,8.950763332785934,84.05,97.582,-0.7664839778957181,0.205823566297444
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2013-04-01,0.014,5,1,FALSE,4.152008056640648,5.1516539394236505,86.65,97.54,-0.5016885952361484,-0.5015526771620133
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2013-05-01,0.004,5,1,FALSE,10.398004150390648,5.594479452558624,89.45,97.16,-0.4407637916310549,0.5446413980669921
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2013-06-01,0.004,5,1,FALSE,18.254010009765647,2.6785714405941112,83.2,97.16,-0.5403636982734432,-0.17968337011049892
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2013-07-01,0.004,5,1,FALSE,19.368011474609396,4.390278201881056,79.75,97.58200000000001,-0.35719253495666514,-0.0813293987402044
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2013-08-01,0.004,5,1,FALSE,21.876007080078146,4.258637402590576,64.85,97.49600000000001,0.26731509334591125,-0.21547970640941788
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2013-09-01,0.006,5,1,FALSE,20.88800048828127,3.5756470857112084,72.5,97.176,0.28188088875275075,-0.09651910000033799
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2013-10-01,0.0016666666666666668,6,1,FALSE,9.201664225260439,3.8663008382701642,77,97.1,-0.11746204188656181,-0.2911275656211706
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2013-11-01,0.005,4,1,FALSE,-4.06999816894529,7.282421815752133,80.3125,97.86,-0.6596342264280823,-0.02927102059221809
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2013-12-01,0.006,5,1,FALSE,-18.514001464843727,4.754005319689831,88,98.104,-0.6986534870272827,-0.25738495252959526
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2014-01-01,0.0032500000000000003,4,1,FALSE,-14.087492370605446,6.006137668432115,82.0625,97.1525,-0.2295331221187728,0.3005317475039715
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2014-02-01,0.008199999999999999,5,1,FALSE,-15.454003906249977,3.7701939370445094,74.4,97.65,0.004092458051823444,0.382126033062774
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2014-03-01,0.0076,5,1,FALSE,-4.215997314453102,7.268207788337459,79.25,97.52,-0.5166796369556312,-0.2920236850803606
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2014-04-01,0.0036,5,1,FALSE,4.142010498046898,7.822231631612652,81.7,97.19800000000001,-0.7600197745343164,0.24619087822368824
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2014-05-01,0.0098,5,1,FALSE,13.358001708984398,4.10913591715647,68.45,97.544,-0.9152892106590115,-0.09384854547814966
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2014-06-01,0.00825,4,1,FALSE,18.710000610351585,3.4385449458215813,78.3125,97.1575,-0.6799429280875289,-0.33088463438123944
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2014-07-01,0.0064,5,1,FALSE,19.188000488281272,6.964046042244396,74,97.69,0.010720470095343692,-0.2649535663176143
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2014-08-01,0.007,5,1,FALSE,20.142004394531273,5.593409279231497,77.4,97.628,-0.8279783879353989,-0.23494696129493714
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2014-09-01,0.003,5,1,FALSE,17.1200134277344,5.567635042041154,77.7,97.388,-0.40964653827157643,-0.70215796157319
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2014-10-01,0.0056,5,1,FALSE,11.417993164062523,8.017817244857074,72.35,97.016,-0.43045673464800943,0.3170907255625406
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2014-11-01,0.0182,5,1,FALSE,-5.165008544921852,4.8087424694487515,78.95,97.735,-0.3333485488088847,0.038624784696586104
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2014-12-01,0.014833333333333332,6,1,FALSE,-8.55834299723305,5.548208914730992,87.5,98.16166666666666,-0.02790003322181382,-0.40183061759489114
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2015-01-01,0.0052,5,1,FALSE,-9.585009765624978,6.480298161618822,86.45,97.82300000000001,-0.8579340355062974,0.39569801295379614
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2015-02-01,0.001,3,1,FALSE,-14.691681925455706,3.1339294065930874,83.16666666666667,98.03166666666667,-0.5783059158717019,0.6062471485857481
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2015-03-01,0.0035,6,1,FALSE,1.991657511393252,5.513037957117933,79.29166666666667,97.53208333333333,-0.39008393385799905,-0.3088388338781788
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2015-04-01,0.0048,5,1,FALSE,10.189996337890648,4.354750356664472,69.35,97.344,-0.3157333698143754,0.25859137664452336
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2015-05-01,0.0014,5,1,FALSE,12.289990234375022,5.71760796127477,86.3,97.4035,-0.19586046237770502,-0.03930887235133098
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2015-06-01,0.0032,5,1,FALSE,16.885003662109398,4.429264224267243,86.9,97.357,-0.38721147068559875,0.5358698460484533
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2015-07-01,0.0032,5,1,FALSE,20.784997558593773,4.793985498011526,80.9,97.1855,-0.6075557032726921,-0.6645602629599721
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2015-08-01,0.0036,5,1,FALSE,20.929986572265648,5.923255566697721,72.25,97.3095,-0.7015188360724431,-0.13911063757160222
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2015-09-01,0.0044,5,1,FALSE,20.434991455078148,6.865315435295886,66.8,97.311,-0.3693689442041316,-0.4775768954312059
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2015-10-01,0.0052,5,1,FALSE,11.769982910156273,5.274610867152556,69.2,97.8165,-0.5673371695366826,-0.058595517234976795
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2015-11-01,0.0062,5,1,FALSE,3.8649902343750226,5.594383390936447,74.6,97.5815,-0.1754886864551914,-0.1760036028475547
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2015-12-01,0.0048,5,1,FALSE,-0.32001342773435226,9.986432502931343,91.65,96.803,-0.48970613589921763,-0.07886672432097427
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2016-01-01,0.024,6,1,FALSE,-8.812521362304665,3.9049514156469862,85.58333333333333,97.27916666666667,-0.2676096508426572,-0.14705630889928906
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2016-02-01,0.01575,4,1,FALSE,-6.143759155273415,5.793220685916196,84.25,97.83625,-0.0493354246292027,-0.011665291894739499
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2016-03-01,0.014,6,1,FALSE,1.1541483561198145,5.412310336621172,83.70833333333333,96.995,-0.4728390253778272,0.17873932962619504
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2016-04-01,0.0118,5,1,FALSE,8.839984130859397,6.027412103214434,78.25,97.53,-0.17246014659756306,-0.03644716670944701
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2016-05-01,0.0048000000000000004,5,1,FALSE,16.014996337890647,6.182323441988102,75,97.39150000000001,-0.4521891527425696,-0.24554097478921197
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2016-06-01,0.0044,5,1,FALSE,18.754992675781274,3.858962432223307,81.35,97.25,-0.477942834591217,0.12278642565446289
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2016-07-01,0.0036,5,1,FALSE,22.209991455078146,5.265244879978473,83.55,97.1225,0.09577790012502455,-0.28069199835457415
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2016-08-01,0.002,5,1,FALSE,22.284997558593773,4.784404159438465,74.75,97.4805,-0.369916105295421,-0.6501865472340845
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2016-09-01,0.0026,5,1,FALSE,17.470007324218773,3.536931833650537,68.3,97.5455,-0.41155379310633955,-0.16206833549955346
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2016-10-01,0.0044,5,1,FALSE,10.464996337890648,4.1134136123381,73.95,97.8155,-0.29951899694135775,-0.2878972551411453
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2016-11-01,0.017,5,1,FALSE,4.594982910156273,5.889978560469677,76.3,97.9605,0.049603783150235815,0.3051009491836527
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2016-12-01,0.006,4,1,FALSE,-6.6562637329101335,4.797599434097891,82.125,97.211875,-0.3267158362388677,-0.4392609661157142
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2017-01-01,0.008666666666666666,3,1,FALSE,-3.375016276041644,5.0577858807416085,87.16666666666667,96.52916666666667,-0.5116607372742387,0.39607944685162616
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2017-02-01,0.0085,2,1,FALSE,-1.4749969482421648,8.089334260125115,81.125,96.63374999999999,-0.003935912301174016,-0.09533120598937428
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2017-03-01,0.0078,5,1,FALSE,-1.7600036621093522,3.3980382851754536,75.8,97.64,0.0732014907932882,0.6467097391298097
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2017-04-01,0.0085,4,1,FALSE,10.268739318847679,5.476478313730544,78.25,97.405,-0.9455338736119347,-0.013075579261593456
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2017-05-01,0.003,6,1,FALSE,9.73748677571617,5.330268404142144,78.95833333333333,97.03416666666666,-0.14293894564334161,0.5116940663885249
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2017-06-01,0.0026,5,1,FALSE,16.704986572265646,3.6230678432124908,88,96.99799999999999,-0.46023980320432795,0.307567774936256
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2017-07-01,0.0056,5,1,FALSE,22.195001220703148,3.772232054230566,79.1,97.4345,-0.0474075837957636,-0.31893374128907637
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2017-08-01,0.0056,5,1,FALSE,17.659985351562522,5.483591668186704,84.8,97.3925,-0.24179015973339574,0.23711224148862564
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2017-09-01,6.666666666666666e-4,3,1,FALSE,19.899997965494816,7.1981128375403,71.91666666666667,97.25916666666667,-0.8266323094337763,-0.3104104925687707
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2017-10-01,0.0045000000000000005,4,1,FALSE,9.41248474121096,3.6407639818618023,78.9375,97.978125,-0.328366115211687,-0.022198645475147133
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2017-11-01,0.0076,5,1,FALSE,0.9849914550781478,4.361180314723926,79.9,97.3825,-0.11312437605017533,0.20078327868730872
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2017-12-01,0.006,5,1,FALSE,-9.055010986328103,4.779858244923229,83.15,97.7805,0.6963262419455324,0.311040472262289
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2018-01-01,0.009600000000000001,5,1,FALSE,-9.465008544921853,5.547772470974961,76.45,97.666,-0.7648132821567829,-0.44510937808275747
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2018-02-01,0.0026,5,1,FALSE,-10.705004882812478,4.546205116593857,83.95,97.54599999999999,-0.24235456166204866,-0.1279944508041103
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2018-03-01,0.0092,5,1,FALSE,-2.8200134277343523,5.177759911503492,84.4,97.681,-0.3626156847401729,0.1192164639506292
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2018-04-01,0.0062,5,1,FALSE,-0.7800109863281023,4.978628816152766,67.95,97.736,-0.6309033621329379,0.06412312787090911
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2018-05-01,0.0052,5,1,FALSE,16.79998779296877,5.189776646461443,81.2,97.2205,-0.8240821829548949,0.02548372320763594
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2018-06-01,0.0042,5,1,FALSE,18.384991455078147,3.1746150148469683,85.75,97.4245,-0.7288470961429134,0.4777028336367073
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2018-07-01,0.0035,6,1,FALSE,22.320825195312523,6.146742262618882,74.08333333333333,97.55041666666666,-0.2905222999301193,-0.2897811443130006
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2018-08-01,0.0034000000000000002,5,1,FALSE,21.595001220703146,6.077249361687077,69.2,97.56,-0.6635689646063176,-0.20910547090138812
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2018-09-01,0.003,5,1,FALSE,16.525000000000023,5.8705179116834625,74.8,97.6725,0.4374815742455271,-0.006041041212329479
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2018-10-01,0.0126,5,1,FALSE,5.114996337890648,3.864186653499512,77.8,97.6425,0.05219384121925613,0.5030540269738569
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,2018-11-01,0.0082,5,1,FALSE,-4.060015869140602,4.644755369837647,86.35,97.6375,0.23286051712528236,0.16106735850867793
