distance_band,airport_id,airport_ident,gps_code,local_code,airport_name,airport_type,airport_county_fips,airport_county_name,month,mean_lead,n_obs,n_monitors,is_reid_hillview,air_temp,wind_speed,rhum,pres,wind_dir_sin,wind_dir_cos
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2016-01-01,0.024,6,1,FALSE,-8.812521362304665,3.9049514156469862,85.58333333333333,97.27916666666667,-0.2676096508426572,-0.14705630889928906
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2016-02-01,0.01575,4,1,FALSE,-6.143759155273415,5.793220685916196,84.25,97.83625,-0.0493354246292027,-0.011665291894739499
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2016-03-01,0.014,6,1,FALSE,1.1541483561198145,5.412310336621172,83.70833333333333,96.995,-0.4728390253778272,0.17873932962619504
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2016-04-01,0.0118,5,1,FALSE,8.839984130859397,6.027412103214434,78.25,97.53,-0.17246014659756306,-0.03644716670944701
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2016-05-01,0.0048000000000000004,5,1,FALSE,16.014996337890647,6.182323441988102,75,97.39150000000001,-0.4521891527425696,-0.24554097478921197
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2016-06-01,0.0044,5,1,FALSE,18.754992675781274,3.858962432223307,81.35,97.25,-0.477942834591217,0.12278642565446289
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2016-07-01,0.0036,5,1,FALSE,22.209991455078146,5.265244879978473,83.55,97.1225,0.09577790012502455,-0.28069199835457415
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2016-08-01,0.002,5,1,FALSE,22.284997558593773,4.784404159438465,74.75,97.4805,-0.369916105295421,-0.6501865472340845
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2016-09-01,0.0026,5,1,FALSE,17.470007324218773,3.536931833650537,68.3,97.5455,-0.41155379310633955,-0.16206833549955346
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2016-10-01,0.0044,5,1,FALSE,10.464996337890648,4.1134136123381,73.95,97.8155,-0.29951899694135775,-0.2878972551411453
