airport_id,airport_name,treated,n_pre_months,n_post_months,min_month,max_month
20928,Reid-Hillview Airport of Santa Clara County,TRUE,109,36,2012-02-01,2024-12-01
7382,Albanna Aviation Airport,FALSE,33,0,2003-01-01,2005-09-01
20191,Alexander Field South Wood County Airport,FALSE,3,0,2000-02-01,2000-06-01
19281,Anoka County-Blaine (Janes Field) Airport,FALSE,120,42,2012-01-01,2025-06-01
21010,Auburn Municipal Airport,FALSE,13,0,2011-12-01,2012-12-01
20525,Baldwin County Regional Airport,FALSE,70,0,2003-01-01,2008-10-01
3649,Bowman Field,FALSE,60,0,2012-01-01,2016-12-01
20104,Brookhaven Calabro Airport,FALSE,13,0,2011-10-01,2012-10-01
3414,Burke Lakefront Airport,FALSE,114,0,2002-05-01,2016-08-01
3474,Calexico International Airport,FALSE,244,37,2000-01-01,2025-01-01
18125,Carroll's Airpark,FALSE,264,45,2000-01-01,2025-09-01
19291,Centennial Airport,FALSE,57,0,2010-04-01,2014-12-01
3689,Charles B. Wheeler Downtown Airport,FALSE,66,0,2000-01-01,2016-06-01
3754,Chicago O'Hare International Airport,FALSE,168,0,2000-01-01,2013-12-01
19516,Clearwater Air Park,FALSE,19,0,2001-01-01,2002-07-01
3454,Cleveland Hopkins International Airport,FALSE,37,0,2000-01-01,2003-01-01
19535,Cloquet Carlton County Airport,FALSE,12,0,2010-01-01,2010-12-01
3487,Coleman A. Young Municipal Airport,FALSE,83,0,2000-05-01,2007-03-01
3468,Columbus Airport,FALSE,69,0,2003-01-01,2008-10-01
19539,Compton Woodley Airport,FALSE,155,42,2008-11-01,2025-06-01
3479,Dallas Love Field,FALSE,65,0,2011-08-01,2016-12-01
19636,Dillon County Airport,FALSE,13,0,2000-01-01,2001-12-01
19648,Dupage Airport,FALSE,39,0,2013-10-01,2016-12-01
21432,East Jordan City Airport,FALSE,13,0,2011-11-01,2012-11-01
13317,Edgefield County Airport,FALSE,14,0,2002-01-01,2003-02-01
5355,Elmendorf Air Force Base,FALSE,13,0,2011-10-01,2012-10-01
25575,Falwell Airport,FALSE,84,0,2010-10-01,2017-09-01
24145,Fino Airport,FALSE,96,0,2013-06-01,2021-06-01
14568,Fisher's Field,FALSE,10,0,2005-10-01,2006-07-01
20932,Flabob Airport,FALSE,261,42,2000-01-01,2025-06-01
22390,Flowood Industrial Airport,FALSE,43,0,2011-12-01,2016-06-01
7488,Flying Acres Airport,FALSE,42,0,2013-01-01,2016-07-01
3575,Gary/Chicago International Airport,FALSE,21,0,2000-01-01,2001-09-01
9752,Gaston Airport,FALSE,48,0,2000-01-01,2003-12-01
21047,Gillespie Field,FALSE,45,0,2012-02-01,2016-12-01
18707,Hampton County Airport,FALSE,36,0,2000-01-01,2002-12-01
13222,Harley Airport,FALSE,184,33,2000-01-01,2024-09-01
24376,Harvey Field,FALSE,13,0,2011-12-01,2012-12-01
20058,Hawkins Field,FALSE,36,0,2013-07-01,2016-06-01
24959,Isle-A-Port STOLport,FALSE,54,0,2000-01-01,2004-06-01
3578,Jack Northrop Field Hawthorne Municipal Airport,FALSE,51,0,2000-01-01,2004-03-01
19564,Jim Hamilton L.B. Owens Airport,FALSE,132,0,2000-01-01,2011-12-01
3623,Joplin Regional Airport,FALSE,19,0,2010-01-01,2011-07-01
5447,Kalaeloa Airport,FALSE,84,0,2012-01-01,2018-12-01
19635,Knoxville Downtown Island Airport,FALSE,5,0,2002-01-01,2003-04-01
23940,Lafayette Airstrip,FALSE,59,0,2000-01-01,2012-12-01
20398,Lake County Airport,FALSE,83,0,2000-01-01,2006-12-01
3723,Lakefront Airport,FALSE,10,0,2005-10-01,2006-07-01
19986,Lee Gilmer Memorial Airport,FALSE,70,0,2003-01-01,2008-10-01
3644,Long Beach International Airport,FALSE,261,4,2000-01-01,2022-04-01
3632,Los Angeles International Airport,FALSE,205,0,2004-04-01,2021-09-01
20468,Macon Downtown Airport,FALSE,185,0,2003-01-01,2018-12-01
19552,McClellan-Palomar Airport,FALSE,97,39,2012-03-01,2025-03-01
5386,Merrill Field,FALSE,13,0,2011-10-01,2012-10-01
20509,Miami Municipal Airport,FALSE,0,13,2023-05-01,2024-05-01
3709,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,FALSE,55,0,2002-04-01,2006-12-01
3701,Modesto City Co-Harry Sham Field,FALSE,2,0,2000-01-01,2000-02-01
3682,Morgantown Municipal Airport Walter L. (Bill) Hart Field,FALSE,87,0,2008-01-01,2015-09-01
3360,Nantucket Memorial Airport,FALSE,14,0,2012-01-01,2013-02-01
5423,Noatak Airport,FALSE,6,0,2010-01-01,2011-08-01
3883,Norman Y. Mineta San Jose International Airport,FALSE,152,41,2002-10-01,2025-06-01
3793,Oakland County International Airport,FALSE,14,0,2011-07-01,2012-08-01
20805,Palo Alto Airport,FALSE,35,0,2012-02-01,2014-12-01
20062,Park Township Airport,FALSE,21,0,2000-01-01,2001-09-01
3771,Philadelphia International Airport,FALSE,69,0,2010-01-01,2015-09-01
19672,Phoenix Deer Valley Airport,FALSE,114,0,2010-07-01,2019-12-01
19618,Pryor Field Regional Airport,FALSE,12,0,2012-01-01,2012-12-01
3842,Reading Regional Airport (Carl A Spaatz Field),FALSE,54,0,2013-01-01,2017-06-01
3539,Republic Airport,FALSE,13,0,2012-10-01,2013-10-01
3951,Robins Air Force Base,FALSE,70,0,2003-01-01,2008-10-01
3906,Saint Paul Downtown Holman Field,FALSE,156,42,2009-01-01,2025-06-01
3867,San Bernardino International Airport,FALSE,261,42,2000-01-01,2025-06-01
21105,San Carlos Airport,FALSE,50,0,2012-03-01,2017-03-01
3875,Seattle–Tacoma International Airport,FALSE,13,0,2001-02-01,2002-02-01
19307,Slidell Airport,FALSE,9,0,2005-11-01,2006-07-01
21063,South St Paul Municipal Airport/Richard E Fleming Field,FALSE,193,13,2005-12-01,2025-06-01
8115,Spud View Airport,FALSE,83,0,2010-01-01,2017-03-01
3775,St. Petersburg Clearwater International Airport,FALSE,96,0,2000-01-01,2007-12-01
21109,Stinson Municipal Airport,FALSE,18,0,2012-07-01,2013-12-01
19783,Summit Airport,FALSE,33,0,2003-01-01,2005-09-01
3921,Tinker Air Force Base,FALSE,31,0,2009-05-01,2011-11-01
21333,Van Nuys Airport,FALSE,42,0,2010-01-01,2013-06-01
9554,Vassar Field,FALSE,40,0,2011-09-01,2014-12-01
325427,Walnut Grove Airport,FALSE,120,34,2012-01-01,2024-10-01
20813,Waupaca Municipal Airport,FALSE,27,0,2001-01-01,2004-12-01
3388,Wilkes-Barre/Scranton International Airport,FALSE,98,0,2010-01-01,2018-09-01
10151,Wipline Airport,FALSE,49,0,2005-12-01,2009-12-01
3467,Yeager Airport,FALSE,71,24,2016-02-01,2023-12-01
350078,Kearney Airport,NA,13,0,2006-01-01,2007-01-01
345306,Soboba Flight Park Gliderport,NA,13,0,2001-01-01,2002-01-01
537902,Treasure Island Airport,NA,54,0,2000-01-01,2004-06-01
