airport_id,airport_name,treated,n_pre_months,n_post_months,min_month,max_month
20928,Reid-Hillview Airport of Santa Clara County,TRUE,62,36,2016-01-01,2024-12-01
19281,Anoka County-Blaine (Janes Field) Airport,FALSE,72,36,2016-01-01,2024-12-01
3474,Calexico International Airport,FALSE,55,36,2016-01-01,2024-12-01
18125,Carroll's Airpark,FALSE,72,36,2016-01-01,2024-12-01
19539,Compton Woodley Airport,FALSE,69,36,2016-01-01,2024-12-01
20932,Flabob Airport,FALSE,69,36,2016-01-01,2024-12-01
13222,Harley Airport,FALSE,59,33,2016-01-01,2024-09-01
3644,Long Beach International Airport,FALSE,69,4,2016-01-01,2022-04-01
19552,McClellan-Palomar Airport,FALSE,72,36,2016-01-01,2024-12-01
3906,Saint Paul Downtown Holman Field,FALSE,72,36,2016-01-01,2024-12-01
3867,San Bernardino International Airport,FALSE,69,36,2016-01-01,2024-12-01
21063,South St Paul Municipal Airport/Richard E Fleming Field,FALSE,72,12,2016-01-01,2022-12-01
325427,Walnut Grove Airport,FALSE,72,34,2016-01-01,2024-10-01
3467,Yeager Airport,FALSE,71,24,2016-02-01,2023-12-01
