distance_band,airport_id,airport_ident,gps_code,local_code,airport_name,airport_type,airport_county_fips,airport_county_name,month,mean_lead,n_obs,n_monitors,is_reid_hillview,air_temp,wind_speed,rhum,pres,wind_dir_sin,wind_dir_cos,post,treated,treated_post,log_lead
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2016-01-01,0.00975,6,1,FALSE,10.849979654947939,3.1129570332222576,82.83333333333333,100.32583333333334,-0.21860163810898217,0.007930810049854395,FALSE,FALSE,0,-4.532849524408466
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2016-02-01,0.005725,4,1,FALSE,11.78748474121096,4.344529186691685,83.75,100.07249999999999,0.4209636965979705,-0.0334749674899939,FALSE,FALSE,0,-5.0019233534942344
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2016-03-01,0.00245,6,1,FALSE,13.183323160807314,4.876694672012758,80.83333333333333,100.07583333333334,0.5488070391591573,0.11426556392124036,FALSE,FALSE,0,-5.669381047938868
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2016-04-01,0.00564,5,1,FALSE,16.075000000000024,4.567263078933786,66.05,99.93499999999999,-0.7435539584533356,0.6491104058365098,FALSE,FALSE,0,-5.014643315493794
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2016-05-01,0.006016666666666667,6,1,FALSE,14.591648356119814,1.1738564460316385,82.75,99.7925,0.1085128265270604,0.5566606572274377,FALSE,FALSE,0,-4.959467007521856
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2016-06-01,0.00344,5,1,FALSE,18.654992675781273,4.482457724631731,69.25,99.7355,-0.02748067233085738,-0.01836582291630128,FALSE,FALSE,0,-5.417100902538004
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2016-07-01,0.0048000000000000004,4,1,FALSE,18.649987792968773,3.9887371407206516,62.375,99.83500000000001,-0.43603070162140684,0.8478808245170882,FALSE,FALSE,0,-5.149897361429764
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2016-08-01,0.0027500000000000003,6,1,FALSE,17.758325195312523,2.390781037516497,70.75,99.77833333333334,-0.5109036329439841,0.2318940713262568,FALSE,FALSE,0,-5.585999438999817
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2016-09-01,0.008150000000000001,4,1,FALSE,18.29999694824221,1.5398013763018927,66.625,99.78875,0.2349501841555039,0.9142238820058486,FALSE,FALSE,0,-4.694001399694707
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2016-10-01,0.004083333333333333,6,1,FALSE,15.649997965494814,3.304049876623891,82.75,99.84083333333334,-0.05026318431222866,-0.6432051485638229,FALSE,FALSE,0,-5.281788064596826
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2016-11-01,0.0045,4,1,FALSE,15.91248474121096,5.5981419980652865,81.25,99.95124999999999,-0.8891709641618537,-0.08351789828952974,FALSE,FALSE,0,-5.2030071867437115
